plot,habitat,species code,mptype,number,percent.cov
1,aspen,ACHMIL,wholeplot,1,2.5
2,aspen,ACHMIL,wholeplot,1,2.5
5,aspen,ACHMIL,microplot,1,2.5
5,aspen,ACHMIL,microplot,6,2.5
5,aspen,ACHMIL,subplot,2,2.5
5,aspen,ACHMIL,midplot,1,2.5
5,aspen,ACHMIL,wholeplot,1,2.5
6,aspen,ACHMIL,subplot,2,2.5
6,aspen,ACHMIL,midplot,1,2.5
6,aspen,ACHMIL,wholeplot,1,2.5
7,aspen,ACHMIL,microplot,4,14.5
7,aspen,ACHMIL,microplot,5,14.5
7,aspen,ACHMIL,microplot,9,2.5
7,aspen,ACHMIL,subplot,2,2.5
7,aspen,ACHMIL,midplot,1,2.5
7,aspen,ACHMIL,wholeplot,1,2.5
9,aspen,ACHMIL,midplot,1,2.5
9,aspen,ACHMIL,wholeplot,1,2.5
10,aspen,ACHMIL,microplot,4,2.5
10,aspen,ACHMIL,microplot,9,2.5
10,aspen,ACHMIL,midplot,1,2.5
10,aspen,ACHMIL,wholeplot,1,2.5
14,aspen,ACHMIL,wholeplot,1,2.5
18,aspen,ACHMIL,microplot,1,14.5
18,aspen,ACHMIL,microplot,2,2.5
18,aspen,ACHMIL,microplot,3,2.5
18,aspen,ACHMIL,microplot,5,2.5
18,aspen,ACHMIL,microplot,6,2.5
18,aspen,ACHMIL,microplot,8,14.5
18,aspen,ACHMIL,subplot,1,2.5
18,aspen,ACHMIL,subplot,2,2.5
18,aspen,ACHMIL,midplot,1,2.5
18,aspen,ACHMIL,wholeplot,1,2.5
24,aspen,ACHMIL,microplot,2,2.5
24,aspen,ACHMIL,microplot,3,2.5
24,aspen,ACHMIL,microplot,7,2.5
24,aspen,ACHMIL,subplot,1,2.5
24,aspen,ACHMIL,midplot,1,2.5
24,aspen,ACHMIL,wholeplot,1,2.5
32,aspen,ACHMIL,microplot,1,2.5
32,aspen,ACHMIL,microplot,2,2.5
32,aspen,ACHMIL,microplot,7,2.5
32,aspen,ACHMIL,microplot,8,2.5
32,aspen,ACHMIL,subplot,1,2.5
32,aspen,ACHMIL,midplot,1,2.5
32,aspen,ACHMIL,wholeplot,1,2.5
45,aspen,ACHMIL,microplot,2,2.5
45,aspen,ACHMIL,microplot,4,2.5
45,aspen,ACHMIL,microplot,9,2.5
45,aspen,ACHMIL,midplot,1,2.5
45,aspen,ACHMIL,wholeplot,1,2.5
47,aspen,ACHMIL,microplot,7,2.5
47,aspen,ACHMIL,midplot,1,2.5
47,aspen,ACHMIL,wholeplot,1,2.5
49,aspen,ACHMIL,microplot,5,2.5
49,aspen,ACHMIL,microplot,7,2.5
49,aspen,ACHMIL,microplot,9,2.5
49,aspen,ACHMIL,microplot,10,2.5
49,aspen,ACHMIL,microplot,8,14.5
49,aspen,ACHMIL,midplot,1,2.5
49,aspen,ACHMIL,wholeplot,1,2.5
50,aspen,ACHMIL,microplot,5,2.5
50,aspen,ACHMIL,subplot,2,2.5
50,aspen,ACHMIL,midplot,1,2.5
50,aspen,ACHMIL,wholeplot,1,2.5
51,aspen,ACHMIL,subplot,1,2.5
51,aspen,ACHMIL,subplot,2,2.5
51,aspen,ACHMIL,wholeplot,1,2.5
60,aspen,ACHMIL,microplot,2,2.5
60,aspen,ACHMIL,microplot,6,2.5
60,aspen,ACHMIL,subplot,1,2.5
60,aspen,ACHMIL,subplot,2,2.5
60,aspen,ACHMIL,midplot,1,2.5
60,aspen,ACHMIL,wholeplot,1,2.5
62,aspen,ACHMIL,subplot,2,2.5
62,aspen,ACHMIL,wholeplot,1,2.5
80,aspen,ACHMIL,microplot,1,2.5
80,aspen,ACHMIL,subplot,1,2.5
80,aspen,ACHMIL,wholeplot,1,2.5
81,aspen,ACHMIL,microplot,4,2.5
81,aspen,ACHMIL,microplot,7,14.5
81,aspen,ACHMIL,microplot,8,2.5
81,aspen,ACHMIL,microplot,9,2.5
81,aspen,ACHMIL,microplot,10,85
81,aspen,ACHMIL,midplot,1,2.5
81,aspen,ACHMIL,wholeplot,1,2.5
82,aspen,ACHMIL,subplot,2,2.5
82,aspen,ACHMIL,wholeplot,1,2.5
5,aspen,ACHNEL,wholeplot,1,2.5
7,aspen,ACHNEL,microplot,5,2.5
7,aspen,ACHNEL,midplot,1,2.5
7,aspen,ACHNEL,wholeplot,1,2.5
9,aspen,ACHNEL,midplot,1,2.5
9,aspen,ACHNEL,wholeplot,1,2.5
18,aspen,ACHNEL,microplot,5,2.5
18,aspen,ACHNEL,microplot,6,14.5
18,aspen,ACHNEL,microplot,8,2.5
18,aspen,ACHNEL,microplot,10,2.5
18,aspen,ACHNEL,subplot,1,2.5
18,aspen,ACHNEL,midplot,1,2.5
18,aspen,ACHNEL,wholeplot,1,2.5
24,aspen,ACHNEL,microplot,1,2.5
24,aspen,ACHNEL,subplot,1,2.5
24,aspen,ACHNEL,midplot,1,2.5
24,aspen,ACHNEL,wholeplot,1,2.5
49,aspen,ACHNEL,microplot,3,2.5
49,aspen,ACHNEL,wholeplot,1,2.5
50,aspen,ACHNEL,microplot,4,2.5
50,aspen,ACHNEL,subplot,2,2.5
50,aspen,ACHNEL,wholeplot,1,2.5
60,aspen,ACHNEL,subplot,1,2.5
60,aspen,ACHNEL,wholeplot,1,2.5
80,aspen,ACHNEL,microplot,6,2.5
80,aspen,ACHNEL,midplot,1,2.5
80,aspen,ACHNEL,wholeplot,1,2.5
81,aspen,ACHNEL,subplot,1,2.5
81,aspen,ACHNEL,wholeplot,1,2.5
82,aspen,ACHNEL,microplot,8,2.5
82,aspen,ACHNEL,microplot,9,2.5
82,aspen,ACHNEL,subplot,1,2.5
82,aspen,ACHNEL,wholeplot,1,2.5
18,aspen,ACHRIC,microplot,4,2.5
18,aspen,ACHRIC,microplot,5,2.5
18,aspen,ACHRIC,microplot,9,2.5
18,aspen,ACHRIC,subplot,2,2.5
18,aspen,ACHRIC,midplot,1,2.5
18,aspen,ACHRIC,wholeplot,1,2.5
45,aspen,ACHRIC,wholeplot,1,2.5
50,aspen,ACHRIC,microplot,4,2.5
50,aspen,ACHRIC,wholeplot,1,2.5
62,aspen,ACHRIC,subplot,1,2.5
62,aspen,ACHRIC,subplot,2,2.5
62,aspen,ACHRIC,midplot,1,2.5
62,aspen,ACHRIC,wholeplot,1,2.5
65,aspen,ACHRIC,microplot,4,2.5
65,aspen,ACHRIC,wholeplot,1,2.5
81,aspen,ACHRIC,microplot,4,2.5
81,aspen,ACHRIC,subplot,2,2.5
81,aspen,ACHRIC,midplot,1,2.5
81,aspen,ACHRIC,wholeplot,1,2.5
5,aspen,AGOGLA,microplot,8,2.5
5,aspen,AGOGLA,subplot,2,2.5
5,aspen,AGOGLA,midplot,1,2.5
5,aspen,AGOGLA,wholeplot,1,2.5
6,aspen,AGOGLA,subplot,2,2.5
6,aspen,AGOGLA,midplot,1,2.5
6,aspen,AGOGLA,wholeplot,1,2.5
7,aspen,AGOGLA,microplot,4,14.5
7,aspen,AGOGLA,subplot,1,2.5
7,aspen,AGOGLA,subplot,2,2.5
7,aspen,AGOGLA,midplot,1,2.5
7,aspen,AGOGLA,wholeplot,1,2.5
18,aspen,AGOGLA,microplot,1,2.5
18,aspen,AGOGLA,microplot,2,14.5
18,aspen,AGOGLA,microplot,3,14.5
18,aspen,AGOGLA,microplot,4,2.5
18,aspen,AGOGLA,microplot,6,14.5
18,aspen,AGOGLA,microplot,7,2.5
18,aspen,AGOGLA,subplot,1,2.5
18,aspen,AGOGLA,midplot,1,2.5
18,aspen,AGOGLA,wholeplot,1,2.5
24,aspen,AGOGLA,midplot,1,2.5
24,aspen,AGOGLA,wholeplot,1,2.5
32,aspen,AGOGLA,microplot,3,2.5
32,aspen,AGOGLA,microplot,7,2.5
32,aspen,AGOGLA,subplot,1,2.5
32,aspen,AGOGLA,midplot,1,2.5
32,aspen,AGOGLA,wholeplot,1,2.5
49,aspen,AGOGLA,microplot,6,2.5
49,aspen,AGOGLA,wholeplot,1,2.5
51,aspen,AGOGLA,microplot,1,2.5
51,aspen,AGOGLA,wholeplot,1,2.5
60,aspen,AGOGLA,subplot,2,2.5
60,aspen,AGOGLA,wholeplot,1,2.5
80,aspen,AGOGLA,subplot,1,2.5
80,aspen,AGOGLA,wholeplot,1,2.5
81,aspen,AGOGLA,microplot,1,2.5
81,aspen,AGOGLA,microplot,2,14.5
81,aspen,AGOGLA,microplot,5,14.5
81,aspen,AGOGLA,microplot,6,2.5
81,aspen,AGOGLA,microplot,7,14.5
81,aspen,AGOGLA,microplot,9,14.5
81,aspen,AGOGLA,microplot,10,37.5
81,aspen,AGOGLA,subplot,1,2.5
81,aspen,AGOGLA,subplot,2,2.5
81,aspen,AGOGLA,midplot,1,2.5
81,aspen,AGOGLA,wholeplot,1,2.5
82,aspen,AGOGLA,microplot,4,2.5
82,aspen,AGOGLA,microplot,6,2.5
82,aspen,AGOGLA,microplot,7,2.5
82,aspen,AGOGLA,microplot,9,85
82,aspen,AGOGLA,subplot,2,2.5
82,aspen,AGOGLA,midplot,1,2.5
82,aspen,AGOGLA,wholeplot,1,2.5
10,aspen,AGRGIG,subplot,2,2.5
10,aspen,AGRGIG,midplot,1,2.5
10,aspen,AGRGIG,wholeplot,1,2.5
1,aspen,AGRREP,microplot,1,2.5
1,aspen,AGRREP,subplot,1,2.5
1,aspen,AGRREP,midplot,1,2.5
1,aspen,AGRREP,wholeplot,1,2.5
4,aspen,AGRREP,microplot,2,2.5
4,aspen,AGRREP,microplot,3,2.5
4,aspen,AGRREP,microplot,9,2.5
4,aspen,AGRREP,subplot,2,2.5
4,aspen,AGRREP,wholeplot,1,2.5
6,aspen,AGRREP,wholeplot,1,2.5
9,aspen,AGRREP,microplot,3,2.5
9,aspen,AGRREP,microplot,4,2.5
9,aspen,AGRREP,subplot,2,2.5
9,aspen,AGRREP,wholeplot,1,2.5
14,aspen,AGRREP,microplot,1,2.5
14,aspen,AGRREP,subplot,2,2.5
14,aspen,AGRREP,wholeplot,1,2.5
51,aspen,AGRREP,subplot,1,2.5
51,aspen,AGRREP,wholeplot,1,2.5
60,aspen,AGRREP,microplot,1,2.5
60,aspen,AGRREP,wholeplot,1,2.5
2,aspen,ALLCER,midplot,1,2.5
2,aspen,ALLCER,wholeplot,1,2.5
4,aspen,ALLCER,microplot,3,2.5
4,aspen,ALLCER,midplot,1,2.5
4,aspen,ALLCER,wholeplot,1,2.5
5,aspen,ALLCER,microplot,5,2.5
5,aspen,ALLCER,microplot,8,14.5
5,aspen,ALLCER,midplot,1,2.5
5,aspen,ALLCER,wholeplot,1,2.5
6,aspen,ALLCER,microplot,4,2.5
6,aspen,ALLCER,microplot,10,2.5
6,aspen,ALLCER,subplot,2,2.5
6,aspen,ALLCER,midplot,1,2.5
6,aspen,ALLCER,wholeplot,1,2.5
7,aspen,ALLCER,microplot,3,2.5
7,aspen,ALLCER,microplot,4,2.5
7,aspen,ALLCER,microplot,5,14.5
7,aspen,ALLCER,microplot,6,37.5
7,aspen,ALLCER,microplot,7,14.5
7,aspen,ALLCER,microplot,8,2.5
7,aspen,ALLCER,microplot,10,14.5
7,aspen,ALLCER,subplot,2,2.5
7,aspen,ALLCER,midplot,1,2.5
7,aspen,ALLCER,wholeplot,1,2.5
9,aspen,ALLCER,wholeplot,1,2.5
10,aspen,ALLCER,microplot,2,2.5
10,aspen,ALLCER,microplot,10,2.5
10,aspen,ALLCER,wholeplot,1,2.5
14,aspen,ALLCER,microplot,4,2.5
14,aspen,ALLCER,subplot,2,2.5
14,aspen,ALLCER,wholeplot,1,2.5
24,aspen,ALLCER,microplot,6,2.5
24,aspen,ALLCER,microplot,7,2.5
24,aspen,ALLCER,microplot,8,2.5
24,aspen,ALLCER,microplot,10,2.5
24,aspen,ALLCER,wholeplot,1,2.5
32,aspen,ALLCER,microplot,2,2.5
32,aspen,ALLCER,midplot,1,2.5
32,aspen,ALLCER,wholeplot,1,2.5
45,aspen,ALLCER,wholeplot,1,2.5
47,aspen,ALLCER,microplot,6,2.5
47,aspen,ALLCER,wholeplot,1,2.5
49,aspen,ALLCER,microplot,9,2.5
49,aspen,ALLCER,midplot,1,2.5
49,aspen,ALLCER,wholeplot,1,2.5
50,aspen,ALLCER,subplot,2,0
50,aspen,ALLCER,wholeplot,1,0
51,aspen,ALLCER,microplot,2,2.5
51,aspen,ALLCER,wholeplot,1,2.5
65,aspen,ALLCER,microplot,4,2.5
65,aspen,ALLCER,subplot,2,2.5
65,aspen,ALLCER,wholeplot,1,2.5
80,aspen,ALLCER,microplot,4,2.5
80,aspen,ALLCER,wholeplot,1,2.5
81,aspen,ALLCER,microplot,4,2.5
81,aspen,ALLCER,microplot,5,2.5
81,aspen,ALLCER,microplot,6,2.5
81,aspen,ALLCER,microplot,9,2.5
81,aspen,ALLCER,subplot,1,2.5
81,aspen,ALLCER,subplot,2,2.5
81,aspen,ALLCER,midplot,1,2.5
81,aspen,ALLCER,wholeplot,1,2.5
82,aspen,ALLCER,microplot,6,2.5
82,aspen,ALLCER,subplot,1,2.5
82,aspen,ALLCER,subplot,2,2.5
82,aspen,ALLCER,midplot,1,2.5
82,aspen,ALLCER,wholeplot,1,2.5
4,aspen,AMEALN,subplot,1,14.5
4,aspen,AMEALN,subplot,2,2.5
4,aspen,AMEALN,midplot,1,2.5
4,aspen,AMEALN,wholeplot,1,2.5
5,aspen,AMEALN,wholeplot,1,2.5
6,aspen,AMEALN,microplot,7,37.5
6,aspen,AMEALN,midplot,1,2.5
6,aspen,AMEALN,wholeplot,1,2.5
7,aspen,AMEALN,wholeplot,1,2.5
9,aspen,AMEALN,microplot,10,14.5
9,aspen,AMEALN,midplot,1,2.5
9,aspen,AMEALN,wholeplot,1,2.5
10,aspen,AMEALN,wholeplot,1,2.5
14,aspen,AMEALN,midplot,1,2.5
14,aspen,AMEALN,wholeplot,1,2.5
18,aspen,AMEALN,subplot,1,37.5
18,aspen,AMEALN,wholeplot,1,2.5
24,aspen,AMEALN,microplot,4,2.5
24,aspen,AMEALN,subplot,1,2.5
24,aspen,AMEALN,subplot,2,14.5
24,aspen,AMEALN,midplot,1,2.5
24,aspen,AMEALN,wholeplot,1,2.5
32,aspen,AMEALN,microplot,3,2.5
32,aspen,AMEALN,microplot,5,37.5
32,aspen,AMEALN,subplot,1,85
32,aspen,AMEALN,subplot,2,62.5
32,aspen,AMEALN,midplot,1,2.5
32,aspen,AMEALN,wholeplot,1,2.5
45,aspen,AMEALN,subplot,1,2.5
45,aspen,AMEALN,wholeplot,1,2.5
47,aspen,AMEALN,microplot,8,14.5
47,aspen,AMEALN,microplot,10,97.5
47,aspen,AMEALN,wholeplot,1,2.5
49,aspen,AMEALN,microplot,3,2.5
49,aspen,AMEALN,midplot,1,2.5
49,aspen,AMEALN,wholeplot,1,2.5
50,aspen,AMEALN,midplot,1,2.5
60,aspen,AMEALN,wholeplot,1,2.5
65,aspen,AMEALN,wholeplot,1,2.5
81,aspen,AMEALN,subplot,2,2.5
81,aspen,AMEALN,midplot,1,2.5
81,aspen,AMEALN,wholeplot,1,2.5
82,aspen,AMEALN,wholeplot,1,2.5
2,aspen,AMEULN,wholeplot,1,2.5
11,aspen,AMEULN,microplot,2,62.5
11,aspen,AMEULN,wholeplot,1,2.5
32,aspen,ANTPUL,midplot,1,2.5
32,aspen,ANTPUL,wholeplot,1,2.5
18,aspen,ANTROS,wholeplot,1,2.5
1,aspen,AQUFOR,wholeplot,1,2.5
10,aspen,AQUFOR,microplot,5,14.5
10,aspen,AQUFOR,microplot,6,2.5
10,aspen,AQUFOR,microplot,9,2.5
10,aspen,AQUFOR,microplot,10,14.5
10,aspen,AQUFOR,subplot,1,2.5
10,aspen,AQUFOR,subplot,2,2.5
10,aspen,AQUFOR,midplot,1,2.5
10,aspen,AQUFOR,wholeplot,1,2.5
11,aspen,AQUFOR,microplot,2,14.5
11,aspen,AQUFOR,microplot,6,37.5
11,aspen,AQUFOR,microplot,7,2.5
11,aspen,AQUFOR,microplot,8,2.5
11,aspen,AQUFOR,subplot,2,2.5
11,aspen,AQUFOR,midplot,1,2.5
11,aspen,AQUFOR,wholeplot,1,2.5
18,aspen,AQUFOR,microplot,1,14.5
18,aspen,AQUFOR,wholeplot,1,2.5
65,aspen,AQUFOR,wholeplot,1,2.5
80,aspen,AQUFOR,microplot,10,14.5
80,aspen,AQUFOR,wholeplot,1,2.5
7,aspen,ARADRU,subplot,1,2.5
7,aspen,ARADRU,midplot,1,2.5
7,aspen,ARADRU,wholeplot,1,2.5
7,aspen,ARADRU,microplot,8,2.5
5,aspen,ARAHIR,subplot,2,2.5
5,aspen,ARAHIR,wholeplot,1,2.5
32,aspen,ARGANS,microplot,6,14.5
32,aspen,ARGANS,subplot,1,2.5
32,aspen,ARGANS,subplot,2,2.5
32,aspen,ARGANS,wholeplot,1,2.5
49,aspen,ARGANS,microplot,1,2.5
49,aspen,ARGANS,subplot,1,2.5
49,aspen,ARGANS,wholeplot,1,2.5
50,aspen,ARGANS,wholeplot,1,2.5
18,aspen,ASTCAM,microplot,3,2.5
18,aspen,ASTCAM,microplot,8,14.5
18,aspen,ASTCAM,microplot,9,14.5
18,aspen,ASTCAM,subplot,1,2.5
18,aspen,ASTCAM,subplot,2,2.5
18,aspen,ASTCAM,midplot,1,2.5
18,aspen,ASTCAM,wholeplot,1,2.5
24,aspen,ASTCAM,microplot,7,2.5
24,aspen,ASTCAM,wholeplot,1,2.5
45,aspen,ASTCAM,wholeplot,1,2.5
62,aspen,ASTCAM,wholeplot,1,2.5
65,aspen,ASTCAM,microplot,1,14.5
65,aspen,ASTCAM,microplot,2,2.5
65,aspen,ASTCAM,subplot,1,2.5
65,aspen,ASTCAM,midplot,1,2.5
65,aspen,ASTCAM,wholeplot,1,2.5
80,aspen,ASTCAM,subplot,1,2.5
80,aspen,ASTCAM,wholeplot,1,2.5
82,aspen,ASTCAM,subplot,2,2.5
82,aspen,ASTCAM,midplot,1,2.5
82,aspen,ASTCAM,wholeplot,1,2.5
62,aspen,ASTCOL,microplot,6,2.5
62,aspen,ASTCOL,wholeplot,1,2.5
6,aspen,ASTCON,microplot,6,2.5
6,aspen,ASTCON,wholeplot,1,2.5
9,aspen,ASTCON,wholeplot,1,2.5
60,aspen,ASTCON,wholeplot,1,2.5
60,aspen,ASTCON,wholeplot,1,2.5
2,aspen,ASTER1,wholeplot,1,2.5
65,aspen,ASTER1,microplot,6,2.5
65,aspen,ASTER1,wholeplot,1,2.5
10,aspen,ASTER2,midplot,1,2.5
10,aspen,ASTER2,wholeplot,1,2.5
24,aspen,ASTER2,midplot,1,2.5
24,aspen,ASTER2,wholeplot,1,2.5
50,aspen,ASTER2,wholeplot,1,2.5
81,aspen,ASTER2,midplot,1,2.5
81,aspen,ASTER2,wholeplot,1,2.5
50,aspen,ASTER3,midplot,1,2.5
50,aspen,ASTER3,wholeplot,1,2.5
32,aspen,ASTER4,wholeplot,1,2.5
7,aspen,ASTMIS,microplot,5,2.5
7,aspen,ASTMIS,midplot,1,2.5
7,aspen,ASTMIS,wholeplot,1,2.5
18,aspen,ASTMIS,microplot,2,2.5
18,aspen,ASTMIS,microplot,3,14.5
18,aspen,ASTMIS,microplot,4,2.5
18,aspen,ASTMIS,microplot,5,14.5
18,aspen,ASTMIS,microplot,6,2.5
18,aspen,ASTMIS,microplot,7,14.5
18,aspen,ASTMIS,microplot,8,14.5
18,aspen,ASTMIS,microplot,9,2.5
18,aspen,ASTMIS,subplot,1,2.5
18,aspen,ASTMIS,subplot,2,2.5
18,aspen,ASTMIS,midplot,1,2.5
18,aspen,ASTMIS,wholeplot,1,2.5
24,aspen,ASTMIS,microplot,3,2.5
24,aspen,ASTMIS,microplot,5,2.5
24,aspen,ASTMIS,microplot,9,2.5
24,aspen,ASTMIS,wholeplot,1,2.5
45,aspen,ASTMIS,subplot,1,2.5
45,aspen,ASTMIS,wholeplot,1,2.5
49,aspen,ASTMIS,microplot,1,2.5
49,aspen,ASTMIS,microplot,2,14.5
49,aspen,ASTMIS,microplot,4,2.5
49,aspen,ASTMIS,microplot,10,2.5
49,aspen,ASTMIS,midplot,1,2.5
49,aspen,ASTMIS,wholeplot,1,2.5
50,aspen,ASTMIS,microplot,4,2.5
50,aspen,ASTMIS,midplot,1,2.5
50,aspen,ASTMIS,wholeplot,1,2.5
60,aspen,ASTMIS,subplot,1,2.5
60,aspen,ASTMIS,wholeplot,1,2.5
